North & South America,USA,Caterpillar,4,3054
North & South America,USA,Caterpillar,4,3304
North & South America,USA,Caterpillar,6,3056
North & South America,USA,Caterpillar,6,3116
North & South America,USA,Caterpillar,6,3126
North & South America,USA,Caterpillar,6,3306
North & South America,USA,Caterpillar,6,3406
North & South America,USA,Caterpillar,6,C12
North & South America,USA,Caterpillar,6,C18
North & South America,USA,Caterpillar,6,C6.6
North & South America,USA,Caterpillar,6,C9
North & South America,USA,Caterpillar,6,D1300
North & South America,USA,Caterpillar,6,D333
North & South America,USA,Caterpillar,6,D334
North & South America,USA,Caterpillar,6,D337
North & South America,USA,Caterpillar,6,D342
North & South America,USA,Caterpillar,6,D343
North & South America,USA,Caterpillar,6,D353
North & South America,USA,Caterpillar,6,G342
North & South America,USA,Caterpillar,8,3160
North & South America,USA,Caterpillar,8,3208
North & South America,USA,Caterpillar,8,3408
North & South America,USA,Caterpillar,8,3508
North & South America,USA,Caterpillar,8,CG137-8
North & South America,USA,Caterpillar,8,D346
North & South America,USA,Caterpillar,8,D379
North & South America,USA,Caterpillar,12,3412
North & South America,USA,Caterpillar,12,3512
North & South America,USA,Caterpillar,12,5202
North & South America,USA,Caterpillar,12,C32
North & South America,USA,Caterpillar,12,CG137-12
North & South America,USA,Caterpillar,12,D348
North & South America,USA,Caterpillar,12,D397
North & South America,USA,Caterpillar,12,D398
North & South America,USA,Caterpillar,16,3516
North & South America,USA,Caterpillar,16,D399
