americhe,USA,Caterpillar,4,3054
americhe,USA,Caterpillar,4,3304
americhe,USA,Caterpillar,6,3056
americhe,USA,Caterpillar,6,3116
americhe,USA,Caterpillar,6,3126
americhe,USA,Caterpillar,6,3306
americhe,USA,Caterpillar,6,3406
americhe,USA,1,6,C12
americhe,USA,2,6,C18
americhe,USA,3,6,C6.6
americhe,USA,4,6,C9
americhe,USA,5,6,D1300
americhe,USA,6,6,D333
americhe,USA,7,6,D334
americhe,USA,8,6,D337
americhe,USA,9,6,D342
americhe,USA,10,6,D343
americhe,USA,11,6,D353
americhe,USA,12,6,G342
americhe,USA,13,8,3160
americhe,USA,14,8,3208
americhe,USA,15,8,3408
americhe,USA,16,8,3508
americhe,USA,17,8,CG137-8
americhe,USA,18,8,D346
americhe,USA,19,8,D379
americhe,USA,20,12,3412
americhe,USA,21,12,3512
americhe,USA,22,12,5202
americhe,USA,Caterpillar,12,C32
americhe,USA,Caterpillar,12,CG137-12
americhe,USA,Caterpillar,12,D348
americhe,USA,Caterpillar,12,D397
americhe,USA,Caterpillar,12,D398
americhe,USA,Caterpillar,16,3516
americhe,USA,Caterpillar,16,D399
